Record,Description,Connection strength,Preferred Stage,Preferred Sector
Noveus Capital,Venture capital firm investing in generational shifts and supporting innovative startups.,Very weak,,"AI,Blockchain,FinTech,Big Data"
Prota Ventures,"Prota Ventures is a venture building and early stage investment firm with a mission to launch inspiring new ventures and invest in early stage founders. They promote human flourishing by investing holistically in entrepreneurs, believing in generosity,...",Very strong,"Angel,Seed,Early Stage",
Capital Factory,"Capital Factory is the go-to hub for Texas entrepreneurs, offering mentorship, coworking spaces, and funding opportunities to connect startups with essential resources for growth.",Good,,
Insight Partners,"Insight Partners is a global software investor that specializes in partnering with high-growth technology, software, and Internet startups and ScaleUp companies, leveraging over 25 years of experience and a portfolio of 750+ investments to support thei...",Very weak,"Series A,Series B,Series C+,Early Stage,Growth Stage","AI,FinTech,Consumer,Enterprise,Big Data,Cloud Computing,Mobility / Transportation"
Presto Ventures,"Presto Ventures is a Prague-based VC firm specializing in early-stage B2B software startups and online marketplaces from the broader CEE region. With a focus on pre-seed and seed stage investments, they provide support in sales, marketing, and hiring t...",Very weak,"Pre-Seed,Seed,Early Stage","AI,Cloud Computing,E-Commerce / Marketplaces"
Plug and Play Tech Center,"Plug and Play Tech Center is the world's largest startup accelerator and VC, connecting entrepreneurs, corporations, and investors globally to drive open innovation and growth for startups.",Weak,"Seed,Series A,Series B,Early Stage",
DayDream Ventures,DayDream Ventures is a Gen Z-focused venture capital firm investing in innovative startups across multiple industries.,Very weak,,
Defy.vc,Defy Partners is an early stage venture capital firm that supports authentic founders in building enduring companies by backing exceptional entrepreneurs who defy expectations.,Very weak,"Angel,Pre-Seed,Seed,Series A,Early Stage",
Flybridge,"Flybridge is an early stage venture capital firm with over $1 billion under management, partnering with entrepreneurs to build exceptional technology companies.",Very weak,"Angel,Seed,Early Stage","AI,FinTech,Healthcare,Big Data,Cloud Computing,Mobility / Transportation"
"Sports 54 (part of the Emerald Group, Forbes Portugal, Forbes Africa)","Emerald Group specializes in investment and financing within the natural resource sector, focusing on commodity trading and renewable energy solutions, while also developing a complementary ecosystem of media brands to serve as a primary content outlet...",,,Climate Tech
Chai Ventures,,Weak,,
Point72 Ventures,"Point72 Ventures is a global venture capital firm led by Steven A. Cohen, specializing in fintech, deep tech, and enterprise investments with a selective and outbound approach to support founders from seed stage to IPO.",Weak,"Seed,Early Stage","FinTech,Enterprise"
Loona Ventures,,,,
Julian.capital,"Julian Capital is a seed fund that specializes in overhauling customer acquisition strategies, design, and branding for startups. Founded by Julian, a seasoned marketer and investor, the company has a track record of helping thousands of startups grow ...",Very weak,"Angel,Seed,Early Stage",
Human Capital,"Human Capital is a venture firm that invests in founders, teams, and startups with ambitious visions. With over $1.3B in total capital committed, they have backed 15 companies before they became unicorns, including Snowflake, Anduril, Livongo, and Brex...",Very weak,"Angel,Seed,Series A,Early Stage",
Everybody Ventures,"Everybody Ventures is an early stage venture capital firm investing in startups at the intersection of pop culture, consumer, and technology. They support technology companies serving consumers in areas like fintech, gaming, commerce, and media, offeri...",Very weak,Early Stage,"FinTech,Consumer,E-Commerce / Marketplaces"
VNTR Capital,"VNTR Capital is a global investment community and syndicate specializing in fast-growing startups, offering exclusive deal flow and co-investment opportunities with a dynamic community of accomplished peers.",Very strong,,
LFG Ventures™,"LFG Ventures is a curated investment syndicate specializing in Seed to Series B companies. Our team comprises Venture Capital and Private Equity Principals, dedicated to supporting and growing innovative startups.",Very weak,"Seed,Series A,Series B",
Chapter One,"Chapter One is an early stage venture fund focused on helping companies find product market fit. They are seeking protagonists who are eager to embark on the formidable task of inching the world forward. With a focus on web3 products, Chapter One invit...",Good,"Angel,Seed,Early Stage",Web3
CV VC,"WE INVEST IN BLOCKCHAIN. BECAUSE IT IS MORE THAN TECHNOLOGY. The combination of cryptography and decentralization has the potential to boost efficiency and bring down costs across all industrial sectors. Easy access to technology and funding has led to an unprecedented explosion of entrepreneurial creativity, coupled with an output of projects almost too massive to keep up with. We are here to tackle this output, to find, fund and work with the most promising founders and projects in the space - and to help them grow. We invest into all stages of crypto and blockchain development, from incubation to pre-ICO and post-ICO. Because Blockchain is more than just a technology. It is an entire mindset that is set to change the world. www.cvvc.com",Very weak,,
Dispersion Capital,"Dispersion Capital is an early-stage venture capital firm focused on investing in decentralized infrastructure, aiming to support the development of multi-chain, multi-currency, and multi-platform solutions that facilitate the creation of scalable and ...",Very weak,"Angel,Seed,Early Stage","Web3,DeFi,Blockchain,FinTech"
NextView Ventures,"NextView Ventures is a high conviction, hands-on seed investor company that champions founders redesigning the Everyday Economy. They have offices in Boston and NYC, working with founders across North America. NextView Ventures keeps their deal numbers...",Very weak,"Angel,Seed,Early Stage","Consumer,E-Commerce / Marketplaces"
Craft Ventures,Craft Ventures is a venture fund focused on supporting founders in building and scaling successful SaaS businesses by providing access to experienced operators and proven strategies.,Strong,"Seed,Series A,Early Stage,Growth Stage",Enterprise
Flamingo Capital,"Led by a team of Miami founders + investors, Flamingo Capital sources top deals based on local roots, provides access to top tier founders across the country that have made their way through Miami and from our deep network of venture capital investors around the world. We are highly accessible partners, so feel free to connect directly with us. Click below to read our bios and get a feel for our experience in the startup landscape: Chris Adamo: Former 1800 Flowers.com exec (grew from 500m to 1b), Current Letterhead exec, Highly active angel investor and advisor in over 40+ startups Adam Garfield : Founder of Speedetab (sold to Wix), current VP at Wix Will Weinraub: Founder of Live Ninja (sold to IDT), current CEO + founder of On Chain Studios and Cryptoys We view each LP as an important part of the community. We strive to get to know all of you and engage in 2 way conversations to source/co-syndicate deals, provide value to the founders we invest in, and grow each other's networks. Should you have a founder we should meet, we encourage you to DM us to discuss syndication or have them submit their startup through this link. This is a true community as we plan to gather once a year in Miami, provide an online community to meet + engage with each other, and offer opportunities (in addition to investing) that can help everyone expand their horizons and network. We are collaborative by nature and if you bring us an opportunity, we would love to have you as a partner on the syndication across our community and be impactful for the founders we support. Being based in Miami has opened the doors to an extremely diverse set of founders and investors from all over the world. We plan to share our expansive network, extending access to opportunities that prior were inaccessible. Join our community: https://angel.co/s/flamingocapital/loz8K",,,
Blockchange Ventures,Instra Corporation is a global domain registrar specializing in over 300 country domains and advanced Domain Management System for online intellectual property management.,Very weak,,
Norwest Venture Partners,Norwest Venture Partners is a top Silicon Valley-based venture capital firm managing over $12.5 billion. They invest in a diverse range of sectors and offer essential support for CEOs and founders to scale their businesses.,Very weak,None,
Norio Ventures,"Norio Ventures is a company dedicated to increasing the odds of startup success in the fintech and digital asset sectors. They assist early-stage ventures in developing a customer base, launching products, and securing funding. With a global network sp...",Very weak,"Seed,Series A,Early Stage","Crypto,DeFi,Blockchain,FinTech"
Affinity,"Affinity's powerful relationship intelligence enables teams to use their network to find and close more deals. Reduce data entry and become more data driven. Reimagining relationship intelligence. Using patented technology, we help businesses leverage ...",Very strong,,
Shadow Labs: AEC - CRE,"Shadow Ventures is a thematic venture capital firm that invests in seed stage ConstructionTech and PropTech companies disrupting the built world. They focus on investing in startups that bring innovation to the built environment, shaping the future of ...",Very weak,"Pre-Seed,Seed",
Nadathur Holdings,"Nadathur Group is a private equity firm that supports entrepreneurship and scientific research in healthcare. They also focus on neurodevelopmental disabilities, arts, education, poverty alleviation, biodiversity conservation, and women's empowerment. ...",Strong,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage","Healthcare,Biotech / Life Sciences"
Founder Collective,"Founder Collective operates as a seed stage venture capital fund dedicated to supporting founders by providing strategic guidance and resources, aiming to create a more aligned investment experience for startups.",Very weak,"Pre-Seed,Seed,Early Stage","FinTech,Consumer,E-Commerce / Marketplaces"
Chaos Ventures,"Chaos Ventures is a forward-thinking investment firm focusing on early-stage companies disrupting financial services, healthcare, and consumer industries. With a keen eye on emerging technologies like blockchains, AI & ML, virtual reality, and quantum ...",Weak,"Pre-Seed,Seed,Early Stage","AI,Blockchain,FinTech,Healthcare,Consumer,Machine Learning"
Solana Ventures,"Solana Ventures is dedicated to accelerating the growth of the Solana blockchain and its adjacent ecosystems by providing capital to the most promising teams in the crypto space. With a focus on boosting projects on Solana, the company aims to drive in...",,"Angel,Seed,Series A,Early Stage","Crypto,Blockchain,FinTech"
Kinsley Partners,"Kinsley Partners is a seed and early stage VC fund that invests in brands for the modern world. They leverage the strengths of their investment principals and founders to maximize results, focusing on specific sub-sectors of the economy to provide valu...",Very weak,"Seed,Early Stage","FinTech,Consumer,E-Commerce / Marketplaces"
15 and Change,"15 and Change is a venture capital firm led by a PhD student researching NFTs and dad jokes. They invest in life-changing businesses, seeking quality private market performance while using capital as a positive force in the world. Their mission is to f...",Good,"Angel,Pre-Seed,Seed,Series A,Early Stage","NFTs,Biotech / Life Sciences"
Felicis Ventures,"Felicis Ventures is a US-based venture capital firm that backs founders building iconic companies and invests in their growth. With a focus on early to growth-stage investments, Felicis has a proven track record of success with over 40 companies valued...",Very weak,"Early Stage,Growth Stage","AI,FinTech,Healthcare,Enterprise,Biotech / Life Sciences"
Empty Set Group,"Empty Set Group (ESG) is an industry-agnostic, multi-stage fund that advocates for founders who innovate to address inefficiencies while prioritizing environmental sustainability. They focus on understanding individuals before assessing market fit or v...",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage","FinTech,Consumer,Climate Tech"
Slipstream Investors,"Slipstream Investors invests in top early stage VC funds and their breakout portfolio companies, supporting Venture Capital and Private Equity Principals for innovation and growth.",Very weak,"Pre-Seed,Seed,Early Stage",
Andreessen Horowitz,"Andreessen Horowitz is a venture capital firm that invests in innovative technology startups, supporting entrepreneurs from seed funding to growth stages to foster the development of the future through software and technology.",Strong,"Seed,Early Stage,Growth Stage","Web3,AI,FinTech,Healthcare,Big Data,Cloud Computing,Cybersecurity,Social Media,E-Commerce / Marketplaces,Insurtech,Mobility / Transportation,Robotics,Space Tech"
Equal Ventures,Equal Ventures is a venture capital and private equity firm focused on bridging the digital divide in the insurance industry. They aim to revolutionize risk selection and analysis in the face of climate change by leveraging innovative approaches and da...,Weak,"Seed,Series A,Early Stage,Growth Stage","FinTech,Insurtech,Climate Tech"
Trajectory Capital,"Trajectory Capital is a venture capital and private equity firm that specializes in controlling and investing in $1-10 million ARR technology and data SaaS companies. With a focus on corporate divestitures and founder-controlled businesses, they work c...",Weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage","AI,Enterprise,Big Data,Cloud Computing"
Moderne Ventures,"Moderne Ventures is an early-stage venture fund that invests in innovative technology firms transforming the real estate, mortgage, finance, insurance, and home services sectors, while also offering a comprehensive program to enhance participant growth...",Very weak,"Pre-Seed,Seed,Early Stage","FinTech,Insurtech"
Boston Seed Capital,"Boston Seed Capital provides seed stage funding specifically for internet-enabled businesses, focusing on both consumer and B2B sectors.",Very weak,"Angel,Seed","Consumer,E-Commerce / Marketplaces"
Tess Ventures,"Tess Ventures is a global investment firm that partners with exceptional entrepreneurs to build life-improving businesses. With a focus on startups, deep tech companies, and extraordinary founders, Tess Ventures provides capital, guidance, and support ...",Very weak,,
SignalRank,SignalRank: AI-driven private market investor enabling access to ownership in innovative companies and supporting seed managers.,Very weak,"Angel,Seed,Early Stage","AI,FinTech,E-Commerce / Marketplaces"
The W Fund,The W Fund is a venture capital firm with a singular focus on aggregating capital and deploying funds to women and diverse-led tech startups. They aim to fuel the startup ecosystem by investing in Seed through Series B companies and supporting underest...,Weak,"Seed,Series A,Series B","AI,FinTech,Healthcare,Consumer,E-Commerce / Marketplaces,Mobility / Transportation"
PitchBook Data,"PitchBook is a premier data software provider for VC, PE, and M&A professionals, offering a powerful suite of tools to support every stage of a transaction and empower global capital market professionals.",Good,,
Humla Ventures : XBTO,"Humla Ventures is a venture capital fund specializing in blockchain, fintech, and AI-driven companies. They invest in transformative businesses that are reshaping the financial markets ecosystem to be more inclusive and efficient. With a global reach, ...",Very weak,"Angel,Seed,Series A,Early Stage","AI,Blockchain,FinTech"
Starta Ventures,"Starta VC is a venture ecosystem supporting early-stage tech talent globally, promoting inclusivity and diversity in the startup community.",Very weak,"Angel,Seed,Early Stage",
Blockchain Founders Fund,"Blockchain Founders Fund (BFF) is a Singapore-based early-stage Venture Capital Fund that invests in top-tier Blockchain startups globally. Their industry-leading go-to-market focused Venture Program aids seasoned and first-time entrepreneurs across key business functions to fast track growth. BFF has scaled many of the leading Blockchain startups and is always looking to connect with exceptional founders across the industry, including tooling, DeFi, and infrastructure.",Good,"Angel,Seed,Early Stage","DeFi,Blockchain"
Hard Yaka,"Hard Yaka is a venture capital and private equity firm that invests in technologies and companies focused on revolutionizing exchanges between seekers and providers of goods, services, and information. They believe in the power of protocols and are ded...",Very weak,"Seed,Series A,Early Stage,Growth Stage","Blockchain,FinTech,Consumer,E-Commerce / Marketplaces"
Lightbank,"Lightbank is a venture capital firm that invests in technology-based companies, ranging from enterprise startups to mobile gaming companies. They are known for fueling the future of technology with a unique approach that goes beyond just providing mone...",Very weak,"Seed,Series A,Early Stage,Growth Stage","Consumer,Enterprise,Cloud Computing,Mobility / Transportation"
Twenty Seven Ventures,"Twenty Seven Ventures (27V) is a venture capital fund that focuses on investing in global EdTech and Future of Work startups at the Pre Seed/Seed stage. Led by GP @batraatin, 27V believes in supporting the two greatest human endeavors: learning and lab...",Very weak,"Pre-Seed,Seed",E-Commerce / Marketplaces
Dragonfly,"Dragonfly is a leading global crypto investment fund that backs and supports crypto projects worldwide. With a focus on cross-border investments, Dragonfly brings over 10 years of experience to help crypto teams achieve global innovation and adoption.",Good,,"Crypto,DeFi,Blockchain"
Afore Capital,"Afore Capital specializes in providing investment support and product expertise to early-stage startups, particularly in the pre-seed phase, by offering substantial funding and guidance to help entrepreneurs build their ideas into successful ventures.",Weak,"Pre-Seed,Seed,Early Stage",
Magic Fund,"MAGIC Fund is an early stage venture capital fund designed to support founders at the pre-seed and seed stages, focusing on innovative sectors such as mobile banking, no-code software, tech-enabled agriculture, public health data, real estate financing...",,"Pre-Seed,Seed,Early Stage","FinTech,Healthcare,Cloud Computing"
FunFair Technologies,"FunFair Ventures is a venture capital business that invests in early stage blockchain projects, providing not only capital but also expertise in setting up, developing, and scaling web3 businesses. With a team of experienced advisors, including technol...",Weak,"Angel,Seed,Early Stage","Web3,Blockchain"
SEED9 - Growth Without Borders,"SEED9 is a global investment syndicate that elevates innovative founders in Africa and Latin America through capital, mentorship, and access to global investors.",Very weak,"Seed,Early Stage,Growth Stage",
Fifth Era,"Fifth Era is a private investment firm incubating early-stage tech companies with a focus on internet, mobile, social, blockchain, and payments technologies for innovative solutions.",Very weak,"Angel,Seed,Early Stage","Blockchain,Consumer,E-Commerce / Marketplaces"
Brand New Matter,bnm.vc is a venture capital firm investing in early-stage tech startups to fuel growth and success.,Very weak,"Pre-Seed,Seed,Early Stage",
GFC,"Global Founders Capital is a global investment firm that supports outstanding entrepreneurs throughout their entire business lifecycle, from seed funding to IPO, by providing operational resources and backing across various industries and geographies.",Very weak,"Seed,Early Stage,Growth Stage",
Borderless Ventures,"Borderless Ventures provides cross border capital and growth advisory, scaling startups and entrepreneurs globally through strategic business development and capital.",,,
Greenmeadowventures,Seeding the next generation of tech-enabled consumer & enterprise businesses,Very weak,"Angel,Seed,Early Stage","Consumer,Enterprise"
banklessvc,"Bankless Ventures is an early stage Web3 Venture fund empowering pioneers to explore the frontier of Web3. With BVCI, a $30M fund, they aim to support innovators in going #bankless.",Weak,"Angel,Seed,Early Stage",Web3
stacks.ac,"Bitcoin Frontier Fund is a venture capital and private equity firm that focuses on investing in new enabling technologies and tools for the Bitcoin ecosystem. They support the development of new networks, cryptography, zk rollups/proofs, hardware, mini...",Good,"Seed,Series A,Series B,Series C+,Early Stage,Growth Stage","Crypto,Blockchain"
Serena Ventures,"Serena Ventures, founded by Serena Williams in 2017, unlocks value for investors, founders, and communities through strategic investments in over 20 companies.",Weak,,
Foundation Capital,"Foundation Capital is an investment firm that specializes in seed stage investing, particularly in the fintech sector, leveraging a disciplined approach driven by entrepreneurs to support and grow innovative startups.",Very weak,"Angel,Seed",FinTech
Outpost Ventures,Outpost Ventures is a deep technology investor that focuses on nurturing innovative dual-use tech companies by facilitating their relationships with the US Government and providing access to a network of strategic partners and resources to help them se...,Very weak,,Defense Tech
Alchemist Accelerator,"Alchemist Accelerator is a top-ranked venture-backed accelerator specializing in early-stage ventures monetizing from enterprises. It offers a 6-month program, seed investment, and corporate services through AlchemistX, including the AXII podcast.",Weak,"Angel,Seed,Early Stage","Enterprise,E-Commerce / Marketplaces"
Banyan Collective,"Banyan Collective is an ecosystem-as-a-service company focused on scaling the NEAR Ecosystem in the US. They power NEAR hackathons, run IRL meetups, provide technical education, and support projects from grant to seed and beyond. Their services include...",Very weak,"Pre-Seed,Seed,Early Stage",Blockchain
Breakers,"Breakers is a pre-seed and seed investing firm with a focus on being friendly, fast, and helpful to startups. They are true generalists investing in various industries, with a preference for software, data, AI/ML, consumer internet, and commerce enable...",Very weak,"Pre-Seed,Seed","AI,Consumer,Big Data,Machine Learning"
courtside ventures,"Courtside Ventures is a leading early stage venture capital fund based in NYC, specializing in sports, lifestyle, gaming, tech, media, and entertainment companies. They invest in passionate entrepreneurs and focus on new sports, platforms, and wellness...",Very weak,"Pre-Seed,Seed,Early Stage",
Soma Capital,"Soma Capital is a venture capital fund founded by entrepreneurs for entrepreneurs, specializing in software investments and backing over 20 unicorns, such as Astranis, Alto, Cruise, and Razorpay, to automate and innovate globally.",Very weak,"Seed,Series A,Early Stage,Growth Stage","AI,FinTech,Healthcare,Consumer,Cloud Computing,Cybersecurity,E-Commerce / Marketplaces,Mobility / Transportation"
Pitango Venture Capital,"Pitango is a leading venture capital firm in Israel, investing in technology entrepreneurs since 1993. They support visionary entrepreneurs and groundbreaking companies through three funds: Pitango First, Growth, and HealthTech, covering a range of sec...",Very weak,,"AI,FinTech,Healthcare,Cloud Computing,Cybersecurity,Biotech / Life Sciences,Climate Tech,Mobility / Transportation"
Draper University,"Draper University is a leading program in Silicon Valley that redefines higher education by providing an immersive experience for entrepreneurial-minded students to learn, connect, and grow. Founded by Tim Draper, the school offers essential startup sk...",Very weak,,
Network VC,"Network VC is a Thesis Accelerator Platform as a Service (PaaS) and Innovation Consulting company that bridges founders and investors, supporting groundbreaking companies globally with fund raising services and mentorship.",Very weak,,
Astral Ventures,Astral Ventures is a pioneering crypto venture studio dedicated to fostering innovation in the blockchain space.,Very weak,,"Crypto,Blockchain"
JourneyOne Ventures,JourneyOne Ventures is a woman and minority-owned fund investing in frontier wellness industries to break stigmas and provide innovative solutions for personalized care.,Very weak,,"Healthcare,Biotech / Life Sciences"
Family VC,"Family VC fosters a collaborative community of family offices, angel investors, and corporate executives, facilitating the exchange of investment strategies and deal flow while providing access to industry insights, events, and co-investment opportunit...",Very weak,,
BECO Capital,"BECO Capital, a pioneering VC firm since 2012, invests in early-stage tech startups in MENA and beyond, supporting founders with strategy and funding to shape the industry.",Very weak,"Angel,Seed,Early Stage","Enterprise,E-Commerce / Marketplaces"
Valhalla Ventures,"Valhalla Ventures backs visionaries building enduring moats in gaming, blockchain, deep tech, and more.",Weak,"Seed,Series A,Series B,Early Stage,Growth Stage",Blockchain
Champion Venture Partners,Champion Venture Partners (CVP) is revolutionizing sports business investments by creating a network of interconnected businesses that redefine the growth and accessibility of sports-related investments. With a focus on strategic capital and unparallel...,Good,,
Draper Startup House,"Draper Startup House is a global business hub and hostel network dedicated to connecting, inspiring, and empowering entrepreneurs worldwide. With locations in 18 countries and a mission to expand to 100 countries by 2030, they provide coworking spaces,...",Weak,,E-Commerce / Marketplaces
First Row Partners,"First Row Partners is a women-led VC firm in Seattle, investing in pre-seed tech startups that empower individuals through technology.",Very weak,Pre-Seed,
Lubbock Angels,"Lubbock Angel Network focuses on providing seed and support capital to innovative startups in West Texas and beyond, aiming to foster local economic growth through strategic partnerships.",Very weak,"Angel,Seed","FinTech,Healthcare,Consumer,E-Commerce / Marketplaces,Insurtech"
Eric Galen,"Galen Law is a dynamic company led by Eric Galen, a seasoned lawyer, entrepreneur, and dealmaker. With expertise in Web3, entertainment, and ventures, Eric has a proven track record of turning visions into realities. His impressive portfolio includes l...",Very weak,,Web3
RTP Ventures,"RTP Global is a global venture capital firm that focuses on early-stage investments in technology-driven startups, particularly in the software sector, including cloud computing, internet infrastructure, and SaaS technologies.",Weak,"Pre-Seed,Seed,Early Stage","Enterprise,Cloud Computing"
Founders Den,"Founders Den is a shared office space and private club in San Francisco, catering to startups, investors, and entrepreneurs. It has housed notable companies like August, Docker, and Plaid, along with top investors such as Spark Capital and Norwest Vent...",Very weak,,
Global Coin Research,"Global Coin Research (GCR) - Leading Web3 DAO for sourcing, vetting, and funding Pre Seed to Series A opportunities. Providing critical feedback and design partnerships to startups.",Weak,"Pre-Seed,Series A","Web3,Crypto,Blockchain"
Coelius Capital,"Coelius Capital provides early-stage capital for technology startups, specializing in B2B and B2B2C companies with unique ideas. They invest in ventures that challenge the norm and drive innovation, offering checks from $200k to $1m.",Weak,"Seed,Series A,Early Stage","AI,FinTech,Big Data,Cloud Computing,Cybersecurity,Collaboration / Productivity Tools"
Blockwall Management,"Blockwall Management GmbH is a thesis-driven, sector-focused, and independent venture capital platform based in Frankfurt, Germany. As the first BaFin registered crypto fund in Germany, Blockwall funds the development of Web3 and decentralized technolo...",Very weak,"Seed,Series A,Early Stage,Growth Stage","Web3,Crypto,Blockchain"
Notion,"Ali Afridi is a Principal at Equal Ventures, a seed stage VC firm in NYC with a thesis-driven approach to investing and occasional incubation. Previously, he was part of the investment team at Lightbank, a Chicago-based VC firm that led seed rounds in ...",Very weak,"Pre-Seed,Seed,Early Stage","AI,FinTech,Healthcare,E-Commerce / Marketplaces"
Magnify Ventures,"Magnify invests in innovative technology firms that aim to enhance the quality of life, work, and care for modern families, focusing on solutions that address challenges from childbirth to end-of-life care.",Good,"Pre-Seed,Seed,Series A,Early Stage","Healthcare,Biotech / Life Sciences"
StageOne Ventures,"StageOne Ventures leads investments in Israeli entrepreneurs, focusing on early-stage transformative deep tech startups in enterprise and communication software fields, providing financing, guidance, and support to build exceptional enterprises.",Very weak,"Angel,Seed,Early Stage",Enterprise
CV Labs,"CV Labs is the heartbeat of Crypto Valley, driving the fourth industrial revolution by changing the way the world works, lives, interacts, and transacts. As an international ecosystem builder of blockchain venture capital firm CV VC, CV Labs is at the ...",Weak,,"Crypto,Blockchain"
Black Dog Venture Partners,"Black Dog Venture Partners specializes in providing consulting services in public relations, digital marketing, and business development, while also focusing on angel and venture capital investment strategies.",Strong,Angel,
Revolution Tech,"Revolution Tech provides a free weekly market update that simplifies complex information about the rapidly evolving technology landscape, reflecting their journey of experimentation and engagement in the digital realm.",Very weak,,
Style House,"Synastry Capital is a cross-sector impact vehicle providing business consulting and services in personal brand theory, strategy, advisory, and investing.",Very weak,,
Node Capital,"Node Capital is a cryptocurrency fund that supports the builders of the distributed economy by providing services such as designing coin economics, CTO support, cryptography expertise, running nodes, and offering liquidity. The company plays a crucial ...",Weak,"Seed,Series A,Early Stage,Growth Stage","Crypto,DeFi,Blockchain"
NOEMIS Ventures,Founder & Managing Partner at NOEMIS Ventures,Very weak,,
Tess Ventures,"Tess Ventures is a global investment firm that partners with exceptional entrepreneurs to build life-improving businesses. With a focus on startups, deep tech companies, and extraordinary founders, Tess Ventures provides capital, guidance, and support ...",Very weak,,
Initial Capital,"Initial Capital serves as an investor and accelerator for seed and early-stage technology firms, primarily focusing on the gaming sector, consumer services, and technology enablers, while partnering with exceptional entrepreneurs to cultivate global ma...",Very weak,"Seed,Early Stage","AI,Consumer"
MASTERKEY,"MASTERKEY Venture Capital is a top blockchain and crypto investment fund supporting crypto expansion builders across various segments, from L1 protocols to deep crypto technologies.",Very weak,"Seed,Series A,Early Stage,Growth Stage","Crypto,Blockchain"
Space Capital,"Space Capital is an early-stage venture capital fund that specializes in investing in innovative space technology startups, aiming to unlock the potential value of space technology stacks and contribute to the future of humanity.",Very weak,"Angel,Seed,Early Stage",Space Tech
Aumni,"Aumni provides intelligent investment analytics for private capital markets, offering instant access to reliable financial and legal insights through a SaaS platform.",Weak,,"AI,FinTech,Enterprise,Big Data,Cloud Computing"
Cowboy Ventures,"Cowboy Ventures is an early stage venture capital fund that aims to help founders build generational companies by providing support, connections, and expertise. They invest in innovative pre-seed and seed stage tech founders, focusing on products that ...",Very weak,"Pre-Seed,Seed,Early Stage",
Accolade Partners,"Accolade Partners is an investment firm dedicated to seeking significant long term capital appreciation through investments in top tier venture capital and growth equity funds on behalf of endowments, foundations, institutions, family offices, and indi...",Weak,,
Decasonic,"Decasonic is a venture and digital assets fund specializing in building blockchain innovation. With decades of experience in tech investing and operations, we support blockchain founders in accelerating product market fit and scaling growth. Since 2013...",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage",Blockchain
rockawayx,"Rockaway X is a blockchain-focused venture capital fund that supports Web3 projects through venture investing, engineering, and liquidity provisioning. They back early-stage startups with more than just capital, offering developer-focused conferences, ...",Very weak,"Angel,Seed,Early Stage","Web3,Blockchain"
DataPower Ventures,"DataPower Ventures invests in the exponential power of data to transform business. They specialize in venture capital, angel investing, data science, developer tools, machine learning, data automation, data-intensive applications, human-augmented workf...",Weak,"Angel,Seed,Series A,Early Stage","AI,Enterprise,Big Data,Machine Learning"
Polymorphic Capital,Polymorphic Capital is a venture capital firm that invests globally in teams developing practical applications and use cases built on decentralized protocols within the Web3 infrastructure.,Weak,"Seed,Series A,Early Stage","Web3,Crypto,Blockchain"
Delphi Digital,"Delphi Digital provides institutional-grade research and analysis focused on digital assets and macroeconomic trends, empowering investors and builders with actionable insights to enhance their decision-making in the cryptocurrency market.",Weak,,"Crypto,DeFi,Blockchain"
Savage Advisory,"Savage Advisory is a venture advisory firm that partners with founders to provide strategic advice and creative solutions from ideation through scale. They offer services in financial planning, fundraising advisory, business strategy, and support for v...",Very weak,"Pre-Seed,Seed,Early Stage,Growth Stage",
Brooklyn Bridge Ventures,"Brooklyn Bridge Ventures is a pioneering seed stage investment fund in Brooklyn, NY, managing $23 million across two funds. It invests in diverse NYC companies at pre-revenue stages, fostering a vibrant community of founders and professionals.",Very weak,"Angel,Pre-Seed,Seed",
Carmo Companies,"Carmo Companies specializes in organizing high-quality institutional investor meetings focused on the Private Markets, while also providing finance recruitment services for top firms in Venture Capital, Private Equity, Hedge Funds, Real Estate, Family ...",Good,,
HC9 Ventures,"HC9 Ventures is a venture capital and private equity firm that collaborates with Limited Partners and industry experts to support and develop healthcare companies. Specializing in Seed and Series A investments, HC9 leverages its collective experience t...",Very weak,"Seed,Series A",Healthcare
Charge Ventures,"Charge Ventures is a NYC-based VC firm that invests in early stage tech ventures, partnering with exceptional founders at the very beginning of their entrepreneurial journey.",Very weak,"Angel,Seed,Early Stage",
Boost VC,"Boost VC is a pre-seed investment fund that focuses on transforming science fiction concepts into reality by investing in early-stage startups across various innovative sectors, including cryptocurrency, virtual and augmented reality, artificial intell...",Very strong,"Pre-Seed,Seed,Early Stage","Crypto,AI,Blockchain,Metaverse"
Colchuck,"Colchuck is a family-owned media company offering photography, videography, and social media services. They also serve as a purposeful private investment firm, focusing on community-driven capital deployment.",Strong,,
Remagine Ventures,"Remagine Ventures is a pre-seed and seed investment fund that focuses on supporting founders in the gaming, Metaverse, web3, and consumer technology sectors, particularly in Israel, by connecting startups with corporate investors and fostering early-st...",Very weak,"Pre-Seed,Seed","Web3,Consumer,Metaverse"
ADVAN Capital,"ADVAN Capital is a premier private market investment partner that focuses on investing in exceptional businesses in late-stage venture capital, growth equity, and private equity. They specialize in technology, consumer, supply chain, and manufacturing ...",Very weak,"Growth Stage,Late Stage","Consumer,Enterprise"
